Epoch,Num trials,Number correct,Time
0,1077,112,295.4104060367681
1,1077,290,295.4748739749193
2,1077,440,295.53409997187555
3,1077,524,295.466267910786
4,1077,576,295.42766297468916
5,1077,633,295.5531703210436
6,1077,650,295.48154798382893
7,1077,695,295.5108978920616
8,1077,720,295.5207492047921
9,1077,726,295.5583133138716
10,1077,761,295.3837554547936
11,1077,803,295.44004483614117
12,1077,834,295.5520065780729
13,1077,838,295.6273064920679
14,1077,851,295.5242080371827
15,1077,843,295.54582709260285
16,1077,870,295.48523765522987
17,1077,870,295.43606406915933
18,1077,871,295.53265349473804
19,1077,891,295.5164110828191
20,1077,897,295.50823478680104
21,1077,908,295.49234008276835
22,1077,930,295.5365599151701
23,1077,927,295.37969162222
24,1077,920,295.46237615915015
25,1077,936,295.5159704638645
26,1077,952,295.46001688204706
27,1077,939,295.4266825597733
28,1077,926,295.4337877840735
29,1077,950,295.47396389301866
30,1077,959,295.53152479603887
31,1077,952,295.3455707207322
32,1077,957,295.3539144806564
33,1077,964,295.4234503484331
34,1077,970,295.4081696290523
35,1077,964,295.4593140129
36,1077,972,295.4820790300146
37,1077,974,295.37290552817285
38,1077,982,295.49564912263304
39,1077,987,295.4723925641738
40,1077,984,295.43971551954746
41,1077,984,295.44365704013035
42,1077,987,295.3525665230118
43,1077,987,295.3515448360704
44,1077,994,295.3469943716191
45,1077,988,295.63974338490516
46,1077,986,295.44700897298753
47,1077,997,295.44770132098347
48,1077,997,295.4204262769781
49,1077,1001,295.5074739716947
