# Conn_Pop2_Pop2, Conn_Pop2_Pop2_fail, Conn_Pop0_Pop2, Conn_Pop0_Pop2_fail
175,0,1130,0
322,0,1676,0
488,0,2171,0
569,0,2283,0
636,0,2310,0
821,0,2679,0
864,0,2619,0
879,0,2609,0
1071,0,2938,0
1080,0,2783,0
1050,0,2693,0
1253,0,3110,0
1199,0,2951,0
1181,0,2823,0
1401,0,3204,0
1350,0,3051,0
1222,0,2890,0
1395,0,3151,0
1270,0,2875,0
1091,0,2754,0
1303,0,3076,0
1128,0,2853,0
1002,0,2654,0
1163,0,2964,0
1034,0,2719,0
919,0,2579,0
1067,0,2786,0
958,0,2672,0
821,0,2562,0
958,0,2796,0
862,0,2606,0
785,0,2394,0
937,0,2620,0
854,0,2404,0
742,0,2250,0
893,0,2512,0
812,0,2272,0
690,0,2140,0
848,0,2387,0
786,0,2182,0
682,0,2068,0
809,0,2305,0
758,0,2154,0
663,0,1939,0
775,0,2131,0
678,0,1967,0
605,0,1802,0
721,0,2046,0
690,0,1918,0
621,0,1771,0
736,0,1995,0
660,0,1875,0
598,0,1731,0
682,0,1878,0
604,0,1760,0
558,0,1615,0
634,0,1847,0
590,0,1697,0
505,0,1542,0
645,0,1709,0
586,0,1589,0
501,0,1489,0
567,0,1639,0
519,0,1533,0
455,0,1426,0
568,0,1687,0
494,0,1512,0
457,0,1359,0
591,0,1544,0
508,0,1410,0
448,0,1327,0
534,0,1550,0
476,0,1461,0
433,0,1377,0
523,0,1524,0
418,0,1458,0
364,0,1373,0
440,0,1529,0
416,0,1377,0
355,0,1215,0
437,0,1452,0
415,0,1333,0
377,0,1267,0
464,0,1504,0
429,0,1393,0
374,0,1234,0
454,0,1353,0
404,0,1262,0
347,0,1186,0
424,0,1352,0
386,0,1235,0
355,0,1165,0
431,0,1301,0
381,0,1205,0
342,0,1079,0
417,0,1241,0
363,0,1201,0
316,0,1115,0
381,0,1226,0
326,0,1139,0
300,0,1043,0
367,0,1209,0
317,0,1164,0
285,0,1052,0
344,0,1245,0
329,0,1223,0
308,0,1106,0
364,0,1218,0
321,0,1171,0
276,0,1067,0
310,0,1248,0
306,0,1198,0
281,0,1106,0
336,0,1283,0
299,0,1150,0
290,0,1055,0
329,0,1224,0
300,0,1093,0
270,0,985,0
338,0,1158,0
302,0,1128,0
249,0,1047,0
324,0,1184,0
286,0,1111,0
255,0,980,0
323,0,1172,0
284,0,1092,0
252,0,985,0
329,0,1152,0
294,0,1071,0
255,0,1044,0
297,0,1170,0
273,0,1051,0
244,0,1008,0
297,0,1178,0
275,0,1144,0
241,0,1028,0
275,0,1147,0
261,0,1090,0
212,0,1014,0
260,0,1208,0
248,0,1143,0
236,0,1054,0
280,0,1191,0
251,0,1188,0
228,0,1048,0
292,0,1195,0
264,0,1116,0
231,0,1033,0
295,0,1149,0
