Epoch,Num trials,Number correct,Time
0,1077,126,261.31412334693596
1,1077,263,261.28792072599754
2,1077,371,261.37096375366673
3,1077,467,261.3741631517187
4,1077,505,261.39049474382773
5,1077,563,261.3261823398061
6,1077,658,261.3224257947877
7,1077,726,261.30078306701034
8,1077,741,261.244380610995
9,1077,737,261.3316987478174
10,1077,759,261.3278200002387
11,1077,807,261.3692582710646
12,1077,821,261.3168779499829
13,1077,833,261.38723726803437
14,1077,832,261.3224920053035
15,1077,837,261.31495869578794
16,1077,879,261.36975220311433
17,1077,905,261.27119319094345
18,1077,913,261.354958973825
19,1077,895,261.25225008418784
20,1077,909,261.3109608688392
21,1077,925,261.30883202608675
22,1077,914,261.3908911095932
23,1077,935,261.3451716648415
24,1077,941,261.2476286459714
25,1077,943,261.2777607762255
26,1077,941,261.3625298207626
27,1077,946,261.3143420377746
28,1077,950,261.2952366597019
29,1077,953,261.36261996719986
30,1077,956,261.36877267993987
31,1077,966,261.29406689619645
32,1077,963,261.2511769128032
33,1077,963,261.2938000722788
34,1077,963,261.2448159507476
35,1077,968,261.27745973318815
36,1077,974,261.26455819094554
37,1077,979,261.20086313411593
38,1077,971,261.2526909788139
39,1077,968,261.2234193594195
40,1077,988,261.1996831987053
41,1077,984,261.1961160572246
42,1077,984,261.3076261067763
43,1077,984,261.2246377049014
44,1077,983,261.19377306010574
45,1077,986,261.22468464588746
46,1077,993,261.28887943783775
47,1077,1002,261.24659293098375
48,1077,1006,261.26650166977197
49,1077,1011,261.1513466392644
