# Conn_Pop2_Pop2, Conn_Pop2_Pop2_fail, Conn_Pop0_Pop2, Conn_Pop0_Pop2_fail
40,0,1105,0
61,0,1647,0
90,0,2180,0
102,0,2288,0
122,0,2335,0
165,0,2723,0
171,0,2686,0
173,0,2637,0
205,0,2993,0
211,0,2818,0
206,0,2809,0
238,0,3250,0
250,0,2997,0
239,0,2894,0
269,0,3185,0
247,0,3007,0
222,0,2868,0
266,0,3216,0
228,0,2929,0
199,0,2762,0
250,0,3119,0
221,0,2845,0
192,0,2661,0
217,0,2993,0
196,0,2739,0
184,0,2572,0
208,0,2909,0
173,0,2629,0
153,0,2410,0
187,0,2763,0
166,0,2604,0
142,0,2445,0
169,0,2780,0
130,0,2476,0
124,0,2253,0
146,0,2483,0
134,0,2283,0
118,0,2157,0
152,0,2316,0
129,0,2182,0
109,0,2095,0
142,0,2273,0
127,0,2001,0
110,0,1908,0
141,0,2139,0
124,0,2008,0
126,0,1864,0
141,0,2023,0
140,0,1857,0
124,0,1749,0
149,0,1964,0
125,0,1824,0
121,0,1672,0
127,0,1841,0
110,0,1702,0
109,0,1614,0
124,0,1704,0
101,0,1582,0
96,0,1428,0
119,0,1637,0
110,0,1553,0
84,0,1420,0
112,0,1608,0
101,0,1478,0
88,0,1359,0
101,0,1529,0
91,0,1393,0
78,0,1294,0
96,0,1492,0
85,0,1377,0
78,0,1307,0
87,0,1482,0
79,0,1373,0
70,0,1326,0
94,0,1493,0
79,0,1387,0
68,0,1236,0
83,0,1385,0
77,0,1329,0
73,0,1244,0
93,0,1386,0
80,0,1259,0
61,0,1159,0
79,0,1288,0
73,0,1216,0
67,0,1120,0
76,0,1269,0
79,0,1209,0
69,0,1133,0
76,0,1257,0
68,0,1173,0
58,0,1064,0
73,0,1198,0
56,0,1164,0
48,0,1070,0
60,0,1203,0
52,0,1104,0
41,0,1017,0
50,0,1153,0
45,0,1055,0
39,0,964,0
49,0,1081,0
50,0,1038,0
44,0,985,0
49,0,1092,0
50,0,998,0
37,0,961,0
47,0,1100,0
40,0,1042,0
36,0,951,0
43,0,1032,0
44,0,950,0
41,0,868,0
45,0,1003,0
51,0,998,0
47,0,908,0
55,0,1033,0
45,0,970,0
40,0,910,0
47,0,1061,0
43,0,1031,0
42,0,962,0
46,0,1090,0
42,0,1004,0
33,0,952,0
39,0,1039,0
34,0,954,0
30,0,908,0
33,0,1014,0
26,0,999,0
29,0,909,0
39,0,1020,0
32,0,942,0
29,0,880,0
34,0,1039,0
31,0,970,0
26,0,898,0
26,0,1018,0
28,0,957,0
32,0,907,0
31,0,1038,0
23,0,977,0
25,0,939,0
31,0,1055,0
33,0,990,0
34,0,898,0
30,0,1059,0
32,0,957,0
34,0,870,0
36,0,1023,0
