Epoch,Num trials,Number correct,Time
0,1077,97,44.48995094606653
1,1077,147,44.5986832738854
2,1077,139,44.654647645074874
3,1077,298,44.51694653369486
4,1077,276,44.6141095161438
5,1077,282,44.6705663530156
6,1077,294,44.624949948396534
7,1077,312,44.690620542969555
8,1077,315,44.651076815556735
9,1077,345,44.62913856981322
10,1077,436,44.6596918720752
11,1077,481,44.54879858205095
12,1077,517,44.532183311413974
13,1077,533,44.719795763958246
14,1077,538,44.67424343992025
15,1077,566,44.65756185492501
16,1077,598,44.55118463002145
17,1077,627,44.69250703603029
18,1077,643,44.57771395985037
19,1077,656,44.497486074920744
20,1077,665,44.57554720900953
21,1077,690,44.66614321293309
22,1077,727,44.615302643273026
23,1077,739,44.69450198300183
24,1077,743,44.70352204889059
25,1077,751,44.55746716493741
26,1077,723,44.627224821131676
27,1077,709,44.56711375806481
28,1077,743,44.585957081988454
29,1077,781,44.63479185802862
30,1077,783,44.6417580191046
31,1077,804,44.63562785182148
32,1077,793,44.64761787513271
33,1077,753,44.61086387280375
34,1077,756,44.569570522755384
35,1077,777,44.626472123898566
36,1077,801,44.595497922971845
37,1077,796,44.69282697234303
38,1077,776,44.62937996722758
39,1077,774,44.643435281701386
40,1077,802,44.72608166607097
41,1077,816,44.52073630038649
42,1077,816,44.71561588393524
43,1077,823,44.658696497790515
44,1077,829,44.60411251522601
45,1077,809,44.60867540491745
46,1077,797,44.68811447173357
47,1077,821,44.633127302862704
48,1077,858,44.73751219781116
49,1077,877,44.66401389380917
