Epoch,Num trials,Number correct,Time
0,8156,1224,134.97054417900017
1,8156,2761,134.95406759400066
2,8156,3888,134.95796627799973
3,8156,4908,134.96170069599975
4,8156,5358,134.96994424199966
5,8156,5702,134.9548705269999
6,8156,5941,134.97211742299987
7,8156,6281,134.98023597100018
8,8156,6310,134.97965716399995
9,8156,6369,134.97460861800027
10,8156,6527,134.97723073999987
11,8156,6416,134.97687504999976
12,8156,6512,134.98808372500025
13,8156,6608,134.98434462499972
14,8156,6685,134.99103217899938
15,8156,6814,134.9889344760013
16,8156,6713,134.98931669299964
17,8156,6727,134.996072214999
18,8156,6810,135.00791046499944
19,8156,6914,134.99816568999995
20,8156,6863,134.99823059799928
21,8156,6933,135.00730023800133
22,8156,6915,134.99971310300134
23,8156,7012,134.9945177059999
24,8156,6998,135.01982168700124
25,8156,6981,135.00901644700025
26,8156,7077,134.9963975369992
27,8156,7133,134.9977067130003
28,8156,7107,134.9905337880009
29,8156,7224,134.99430259700057
30,8156,7227,135.0191292949985
31,8156,7244,134.99770959099988
32,8156,7297,134.99966573600068
33,8156,7326,135.00522901399927
34,8156,7358,135.00128233000032
35,8156,7425,135.00102401799995
36,8156,7446,134.99839710299966
37,8156,7453,134.99909248599943
38,8156,7443,135.0010866010016
39,8156,7474,135.01506819000133
40,8156,7529,135.00089819599998
41,8156,7498,135.00603986900023
42,8156,7577,135.00268275200142
43,8156,7625,134.98077411299892
44,8156,7603,134.95295260000057
45,8156,7594,134.91311886099902
46,8156,7614,134.88527827100006
47,8156,7608,134.8855778420002
48,8156,7686,134.88657648200024
49,8156,7700,134.8893973760005
