Epoch,Num trials,Number correct,Time
0,1077,137,114.70988769410178
1,1077,303,114.86395805422217
2,1077,352,114.82547656912357
3,1077,404,114.8597795390524
4,1077,528,114.7974593527615
5,1077,565,114.36305937590078
6,1077,621,114.27573389187455
7,1077,665,114.03919049119577
8,1077,707,114.4397612628527
9,1077,723,114.73224230110645
10,1077,750,114.9957456192933
11,1077,802,115.05402410589159
12,1077,822,115.26315410900861
13,1077,804,115.20868588192388
14,1077,831,115.36883297516033
15,1077,858,115.40623789932579
16,1077,877,115.31950981914997
17,1077,900,115.36440840689465
18,1077,903,115.306556195952
19,1077,897,115.3408367689699
20,1077,916,115.60975921433419
21,1077,929,115.60168503411114
22,1077,933,115.53094912879169
23,1077,933,115.46089364308864
24,1077,933,115.41805823007599
25,1077,944,115.39189246669412
26,1077,950,115.52627488598228
27,1077,948,115.33205890189856
28,1077,953,115.38509036088362
29,1077,959,115.08213929273188
30,1077,957,115.13327794382349
31,1077,955,115.29836320970207
32,1077,965,115.16692061023787
33,1077,969,115.22299495805055
34,1077,968,115.14173638727516
35,1077,977,115.1385740772821
36,1077,967,115.12082487298176
37,1077,976,115.16589905880392
38,1077,977,115.28718316508457
39,1077,980,115.14802680071443
40,1077,979,115.12588274106383
41,1077,990,115.06575460685417
42,1077,992,114.96424778783694
43,1077,994,115.12351938476786
44,1077,992,115.02978315483779
45,1077,996,114.9609822682105
46,1077,996,115.05075073102489
47,1077,1001,115.00029855035245
48,1077,1001,114.9108418081887
49,1077,1000,114.80638693785295
