Epoch,Num trials,Number correct,Time
0,8156,562,43.60384960472584
1,8156,1325,43.74540602322668
2,8156,1820,43.53143814811483
3,8156,2503,43.52703268779442
4,8156,2622,43.476304069161415
5,8156,3306,43.47594343312085
6,8156,3726,43.45080110710114
7,8156,4032,43.44362680707127
8,8156,4161,43.438053987920284
9,8156,4410,43.39361980790272
10,8156,4452,43.421902493108064
11,8156,4655,43.36131763784215
12,8156,4800,43.41683252993971
13,8156,4897,43.36091752862558
14,8156,5155,43.410811671987176
15,8156,5248,43.350445533171296
16,8156,5492,43.39482498401776
17,8156,5481,43.336662708316
18,8156,5499,43.39895310299471
19,8156,5775,43.33191984798759
20,8156,5760,43.4002455919981
21,8156,5881,43.33957113092765
22,8156,5947,43.39097963226959
23,8156,6007,43.328249159269035
24,8156,6022,43.387975439894944
25,8156,6086,43.32959317835048
26,8156,6090,43.37620618985966
27,8156,6219,43.303286998998374
28,8156,6239,43.37257829727605
29,8156,6255,43.30729250097647
30,8156,6304,43.3655573669821
31,8156,6226,43.31438539782539
32,8156,6438,43.350497650913894
33,8156,6406,43.315920733846724
34,8156,6504,43.36466169822961
35,8156,6493,43.3068538797088
36,8156,6434,43.35626938007772
37,8156,6412,43.289897099137306
38,8156,6499,43.35597191611305
39,8156,6380,43.29839033493772
40,8156,6503,43.357148070819676
41,8156,6566,43.298506260849535
42,8156,6682,43.35283842589706
43,8156,6772,43.30430613132194
44,8156,6776,43.35457401210442
45,8156,6694,43.291180447209626
46,8156,6700,43.346114304848015
47,8156,6847,43.2997538568452
48,8156,6755,43.35295450035483
49,8156,6793,43.317141838371754
