Epoch,Num trials,Number correct,Time
0,8156,515,22.616954139899462
1,8156,1231,22.57474559498951
2,8156,1841,22.52255434403196
3,8156,2367,22.522526546847075
4,8156,3006,22.772588305175304
5,8156,3302,22.562791664153337
6,8156,3656,22.49428149778396
7,8156,3984,22.4789536469616
8,8156,4107,22.497809844091535
9,8156,4437,22.558377649635077
10,8156,4404,22.509456259664148
11,8156,4528,22.55600524926558
12,8156,4854,22.506909578107297
13,8156,4798,22.482066464144737
14,8156,4987,22.482888782862574
15,8156,5180,22.506586978212
16,8156,5228,22.560273610055447
17,8156,5335,22.51730405073613
18,8156,5430,22.595876951236278
19,8156,5568,22.510831382125616
20,8156,5559,22.48665239708498
21,8156,5657,22.48769269231707
22,8156,5650,22.506280343979597
23,8156,5763,22.55994771514088
24,8156,5905,22.5136719760485
25,8156,5967,22.56467045703903
26,8156,5901,22.50558910286054
27,8156,5991,22.486692192032933
28,8156,5960,22.484995506238192
29,8156,6002,22.486139363609254
30,8156,6018,22.483320474624634
31,8156,6207,22.546995748765767
32,8156,6045,22.533596023917198
33,8156,6135,22.538593471050262
34,8156,6205,22.541500126942992
35,8156,6164,22.490140213165432
36,8156,6185,22.491462109144777
37,8156,6284,22.554811161011457
38,8156,6358,22.52318226825446
39,8156,6399,22.55178204085678
40,8156,6436,22.53982759313658
41,8156,6416,22.9898340892978
42,8156,6388,23.136141280643642
43,8156,6469,22.495335674844682
44,8156,6352,22.769129320047796
45,8156,6425,22.524269759189337
46,8156,6502,22.543436688836664
47,8156,6594,22.528466213028878
48,8156,6542,22.477173259016126
49,8156,6510,22.48348200181499
