Epoch,Num trials,Number correct,Time
0,8156,366,16.179840812999828
1,8156,429,16.162808660999872
2,8156,595,16.152977768999335
3,8156,920,16.086136383999474
4,8156,1347,16.093945028000235
5,8156,1595,16.14372012900003
6,8156,1909,16.09524967300058
7,8156,2055,16.140329605999796
8,8156,2107,16.093980537999414
9,8156,2787,16.06593329899988
10,8156,3069,16.067478465000022
11,8156,3378,16.072672452000006
12,8156,3630,16.127678628000467
13,8156,3847,16.110734762999527
14,8156,3874,16.078472642000634
15,8156,3942,16.130067812999187
16,8156,4140,16.106233108000197
17,8156,4332,16.070470859000125
18,8156,4346,16.066191648999848
19,8156,4392,16.069277762999263
20,8156,4508,16.06738751499961
21,8156,4707,16.067886836999605
22,8156,4582,16.06985016500039
23,8156,4871,16.067046993000076
24,8156,4896,16.08403842899952
25,8156,4928,16.123526231999676
26,8156,5020,16.101524014999995
27,8156,4981,16.088550887000565
28,8156,5021,16.125755171000492
29,8156,5023,16.098583347000385
30,8156,5239,16.068325188000017
31,8156,5259,16.28061258499929
32,8156,5226,16.07137610100017
33,8156,5346,16.125293271999908
34,8156,5324,16.110578003000228
35,8156,5441,16.08079209799962
36,8156,5427,16.126838371000304
37,8156,5383,16.11235286899955
38,8156,5442,16.071070553000027
39,8156,5495,16.07136676400023
40,8156,5478,16.069715917000394
41,8156,5521,16.068951814000684
42,8156,5618,16.081489737000084
43,8156,5483,16.125789339999756
44,8156,5686,16.1050044980002
45,8156,5541,16.087326780000694
46,8156,5642,16.146413533999294
47,8156,5602,16.09835982899949
48,8156,5669,16.07110522899984
49,8156,5748,16.06713232200036
