Epoch,Num trials,Number correct,Time
0,8156,381,20.49824453284964
1,8156,426,20.443963615223765
2,8156,694,20.421959573403
3,8156,1225,20.356322426814586
4,8156,1426,20.435917198192328
5,8156,1949,20.4022256010212
6,8156,2138,20.4367878139019
7,8156,2513,20.58236324414611
8,8156,2779,20.35871585085988
9,8156,3098,20.363785814028233
10,8156,3465,20.420003658160567
11,8156,3766,20.386761146131903
12,8156,3983,20.405165581963956
13,8156,4201,20.41417213017121
14,8156,4330,20.35523150069639
15,8156,4569,20.57240894669667
16,8156,4719,20.353976861108094
17,8156,4813,20.383322263136506
18,8156,4833,20.4302303888835
19,8156,4923,20.38359341211617
20,8156,5119,20.428938953205943
21,8156,5271,20.39115539379418
22,8156,5304,20.362694612238556
23,8156,5393,20.35499978112057
24,8156,5432,20.35149727994576
25,8156,5470,20.405451995320618
26,8156,5557,20.41291389381513
27,8156,5720,20.38576942216605
28,8156,5725,20.43058082042262
29,8156,5801,20.371825558133423
30,8156,5903,20.35723439930007
31,8156,5910,20.35534719703719
32,8156,5996,20.364182054065168
33,8156,5960,20.421386406756938
34,8156,6072,20.394620408769697
35,8156,6039,20.409463295247406
36,8156,6024,20.417648976203054
37,8156,6078,20.363520256243646
38,8156,6104,20.35942606581375
39,8156,6147,20.354941920842975
40,8156,6192,20.379801974166185
41,8156,6246,20.435126092284918
42,8156,6181,20.38473245780915
43,8156,6255,20.429216008167714
44,8156,6278,20.393820615950972
45,8156,6142,20.36358209187165
46,8156,6235,20.362830569036305
47,8156,6226,20.36194944009185
48,8156,6197,20.41142620705068
49,8156,6261,20.422210996970534
