Epoch,Num trials,Number correct,Time
0,8156,387,38.61539640800038
1,8156,409,38.692612697000186
2,8156,651,38.765888908000306
3,8156,1330,38.84758862600029
4,8156,1679,38.83687832600026
5,8156,2094,38.77860961099941
6,8156,2304,38.69194232099926
7,8156,2756,38.64763834199948
8,8156,3060,38.615493778999735
9,8156,3378,38.595340818000295
10,8156,3679,38.55680390999987
11,8156,3964,38.52898528199967
12,8156,4359,38.50225273400065
13,8156,4635,38.49236134500006
14,8156,4857,38.48583968299954
15,8156,5054,38.456655254
16,8156,5171,38.44618669200008
17,8156,5297,38.42525175499941
18,8156,5447,38.40150102200005
19,8156,5486,38.40241089099982
20,8156,5626,38.415961355000036
21,8156,5604,38.377893528999266
22,8156,5670,38.37529026200082
23,8156,5698,38.359743923999304
24,8156,5845,38.37001766499998
25,8156,5928,38.372276017999866
26,8156,5837,38.34569361100057
27,8156,5951,38.33169228499992
28,8156,5969,38.337077893999776
29,8156,6081,38.3423701469992
30,8156,6109,38.34735140700013
31,8156,6230,38.334747353999774
32,8156,6188,38.324188495999806
33,8156,6177,38.33783413199944
34,8156,6256,38.349488759999986
35,8156,6254,38.321293704999334
36,8156,6246,38.31403793300069
37,8156,6271,38.53960592700059
38,8156,6305,38.333970794999914
39,8156,6306,38.31097108599988
40,8156,6305,38.307180929000424
41,8156,6321,38.32339970800058
42,8156,6357,38.30946330399911
43,8156,6313,38.312758578000285
44,8156,6377,38.30987085400011
45,8156,6317,38.3020328549992
46,8156,6330,38.31789332699918
47,8156,6328,38.3223974779994
48,8156,6300,38.302641391999714
49,8156,6273,38.30003162600042
