Epoch,Num trials,Number correct,Time
0,1077,109,53.48790660733357
1,1077,107,53.543533803429455
2,1077,197,53.425956554710865
3,1077,198,53.37271511228755
4,1077,208,53.46070256270468
5,1077,228,53.37266265274957
6,1077,280,53.47596643306315
7,1077,350,53.56191103486344
8,1077,396,53.43097202014178
9,1077,442,53.46789004281163
10,1077,475,53.498578319791704
11,1077,504,53.48421223508194
12,1077,514,53.43921255785972
13,1077,547,53.54319128394127
14,1077,590,53.509330045897514
15,1077,621,53.51466258009896
16,1077,644,53.40565607789904
17,1077,639,53.53839411912486
18,1077,652,53.47618822241202
19,1077,683,53.52716928580776
20,1077,689,53.57133803376928
21,1077,729,53.44627143116668
22,1077,743,53.394894572906196
23,1077,719,53.48782312590629
24,1077,707,53.37233058875427
25,1077,719,53.51220067497343
26,1077,760,53.42796701192856
27,1077,769,53.50093897199258
28,1077,752,53.40906169498339
29,1077,752,53.39584134006873
30,1077,747,53.45790083287284
31,1077,759,53.4219556436874
32,1077,808,53.61494273785502
33,1077,821,53.515417747199535
34,1077,835,53.48106937482953
35,1077,820,53.515898008365184
36,1077,800,53.68363606510684
37,1077,790,53.41524639772251
38,1077,810,53.41570078628138
39,1077,842,53.603621191345155
40,1077,841,53.53331508394331
41,1077,845,53.41527664894238
42,1077,846,53.53764956444502
43,1077,848,53.51132298866287
44,1077,853,53.43600719468668
45,1077,855,53.428770411293954
46,1077,851,53.55450404435396
47,1077,854,53.58615818526596
48,1077,856,53.36676940508187
49,1077,852,53.42324357898906
