Epoch,Num trials,Number correct,Time
0,1077,120,119.97776973200962
1,1077,194,119.9658747962676
2,1077,260,119.89314150530845
3,1077,263,119.91809592861682
4,1077,263,119.98775151418522
5,1077,309,119.9539073780179
6,1077,519,119.9491435661912
7,1077,478,119.96503009973094
8,1077,469,120.00266046030447
9,1077,473,119.97652539098635
10,1077,500,119.9146136357449
11,1077,523,119.90619620494545
12,1077,538,119.9464840781875
13,1077,570,119.92641923390329
14,1077,587,120.03735746396706
15,1077,617,120.194721495267
16,1077,668,120.02963817957789
17,1077,679,119.98206784622744
18,1077,684,119.95504392078146
19,1077,707,119.90411462262273
20,1077,711,119.93525773612782
21,1077,712,120.01268755784258
22,1077,723,119.92108139162883
23,1077,706,119.8815327170305
24,1077,713,120.01301087997854
25,1077,736,120.13885415531695
26,1077,749,119.9074900788255
27,1077,761,119.94744299026206
28,1077,753,119.8522023302503
29,1077,742,119.97491888701916
30,1077,731,119.91964058717713
31,1077,727,119.91005025617778
32,1077,742,119.89270984381437
33,1077,780,119.82125429622829
34,1077,816,119.96401303587481
35,1077,819,119.94125190610066
36,1077,811,119.88341225124896
37,1077,812,119.87926433002576
38,1077,809,119.90267310803756
39,1077,812,119.92399607785046
40,1077,827,119.93609034316614
41,1077,848,119.96109856897965
42,1077,860,119.88049831381068
43,1077,863,119.89234523009509
44,1077,862,119.85050558717921
45,1077,854,119.88756729196757
46,1077,855,119.92482116864994
47,1077,858,119.98636257369071
48,1077,877,119.94531361479312
49,1077,883,119.89553485391662
