Epoch,Num trials,Number correct,Time
0,1077,147,85.47931295493618
1,1077,257,85.46059985784814
2,1077,360,85.45908295176923
3,1077,482,85.54192080767825
4,1077,548,85.53454741835594
5,1077,597,85.47807582234964
6,1077,717,85.54088063398376
7,1077,736,85.56579710822552
8,1077,745,85.5688904649578
9,1077,781,85.43709109304473
10,1077,807,85.5134560232982
11,1077,819,85.52613304601982
12,1077,805,85.58881997410208
13,1077,803,85.52619131002575
14,1077,840,85.5344976298511
15,1077,864,85.61611226480454
16,1077,873,85.5435666940175
17,1077,890,85.50493788998574
18,1077,903,85.57878838013858
19,1077,919,85.44886996690184
20,1077,905,85.58090743003413
21,1077,892,85.49959863908589
22,1077,923,85.46007054112852
23,1077,924,85.56016883300617
24,1077,915,85.48064841190353
25,1077,916,85.49656847165897
26,1077,935,85.5445727808401
27,1077,935,85.42529575200751
28,1077,928,85.51136047486216
29,1077,927,85.51690372964367
30,1077,928,85.61873322771862
31,1077,930,85.58306033909321
32,1077,950,85.50844090990722
33,1077,955,85.48973523825407
34,1077,954,85.54929699003696
35,1077,954,85.50872494606301
36,1077,954,85.49182767607272
37,1077,954,85.46846993314102
38,1077,961,85.50458439206704
39,1077,962,85.57434043427929
40,1077,953,85.52302244585007
41,1077,960,85.56499835010618
42,1077,958,85.52693317597732
43,1077,965,85.57935223914683
44,1077,959,85.4404756189324
45,1077,968,85.49989177426323
46,1077,967,85.5377660272643
47,1077,978,85.46847761422396
48,1077,978,85.4292226578109
49,1077,975,85.54480804782361
