# Conn_Pop2_Pop2, Conn_Pop2_Pop2_fail, Conn_Pop0_Pop2, Conn_Pop0_Pop2_fail
212,0,205,0
383,0,267,0
596,0,292,0
720,0,333,0
851,0,330,0
1066,0,363,0
1162,0,328,0
1231,0,329,0
1415,0,382,0
1447,0,331,0
1464,0,357,0
1631,0,402,0
1603,0,368,0
1563,0,361,0
1725,0,362,0
1653,0,312,0
1571,0,338,0
1738,0,358,0
1610,0,330,0
1454,0,315,0
1573,0,330,0
1472,0,326,0
1389,0,334,0
1454,0,325,0
1350,0,285,0
1225,0,323,0
1377,0,315,0
1266,0,287,0
1140,0,282,0
1249,0,282,0
1136,0,276,0
1049,0,268,0
1166,0,272,0
1064,0,251,0
981,0,258,0
1101,0,256,0
1001,0,216,0
849,0,182,0
959,0,245,0
842,0,229,0
811,0,222,0
894,0,237,0
840,0,224,0
811,0,210,0
864,0,191,0
779,0,213,0
685,0,227,0
761,0,232,0
706,0,213,0
625,0,202,0
663,0,203,0
592,0,197,0
545,0,189,0
635,0,188,0
584,0,184,0
551,0,175,0
600,0,197,0
548,0,178,0
524,0,162,0
602,0,175,0
524,0,173,0
456,0,162,0
500,0,170,0
434,0,166,0
430,0,150,0
453,0,152,0
409,0,141,0
388,0,148,0
434,0,150,0
395,0,145,0
357,0,145,0
390,0,141,0
344,0,147,0
352,0,131,0
378,0,135,0
351,0,122,0
323,0,126,0
336,0,127,0
317,0,112,0
285,0,124,0
284,0,121,0
261,0,121,0
260,0,118,0
266,0,125,0
216,0,114,0
205,0,111,0
219,0,113,0
212,0,97,0
204,0,122,0
212,0,124,0
195,0,121,0
197,0,109,0
219,0,114,0
189,0,117,0
170,0,116,0
177,0,99,0
156,0,85,0
170,0,89,0
180,0,100,0
151,0,89,0
143,0,91,0
163,0,87,0
154,0,75,0
152,0,90,0
166,0,94,0
152,0,89,0
139,0,79,0
167,0,70,0
141,0,90,0
113,0,102,0
145,0,91,0
128,0,79,0
133,0,78,0
137,0,78,0
119,0,61,0
110,0,63,0
134,0,66,0
134,0,54,0
116,0,46,0
130,0,63,0
118,0,61,0
128,0,57,0
126,0,53,0
104,0,54,0
111,0,52,0
114,0,54,0
121,0,53,0
108,0,57,0
121,0,58,0
106,0,70,0
88,0,70,0
100,0,74,0
93,0,54,0
107,0,51,0
121,0,60,0
124,0,52,0
106,0,59,0
100,0,54,0
107,0,43,0
109,0,40,0
106,0,42,0
115,0,50,0
111,0,50,0
106,0,60,0
98,0,58,0
104,0,52,0
105,0,52,0
99,0,54,0
106,0,62,0
103,0,65,0
