Epoch,Num trials,Number correct,Time
0,8156,395,20.02919715968892
1,8156,468,20.020750019699335
2,8156,809,19.93111919099465
3,8156,1162,19.840382443740964
4,8156,1435,19.686913575045764
5,8156,1778,19.471950355917215
6,8156,2135,19.27523090178147
7,8156,2575,19.03949299780652
8,8156,2951,18.891300628893077
9,8156,3200,18.735860677901655
10,8156,3508,18.709546454716474
11,8156,3707,18.569346662145108
12,8156,4049,18.526929462794214
13,8156,4037,18.501741148997098
14,8156,4147,18.37588693201542
15,8156,4398,18.300638385117054
16,8156,4571,18.268930200953037
17,8156,4616,18.260161069687456
18,8156,4732,18.229139840696007
19,8156,4915,18.261855685152113
20,8156,4988,18.27300649508834
21,8156,5101,18.167229681275785
22,8156,5137,18.19384068623185
23,8156,5321,18.115253739990294
24,8156,5221,18.10871603200212
25,8156,5335,18.161648909095675
26,8156,5418,18.152602923102677
27,8156,5620,18.08548372425139
28,8156,5625,18.10689884610474
29,8156,5627,18.118139809928834
30,8156,5725,18.06910455832258
31,8156,5770,18.04391135275364
32,8156,5865,18.050122468732297
33,8156,5855,18.056648422963917
34,8156,5895,18.014594837091863
35,8156,5923,18.055003552231938
36,8156,5999,18.09333187621087
37,8156,5958,17.99788074987009
38,8156,5972,18.024018750991672
39,8156,6080,17.98349551623687
40,8156,6118,17.95498800603673
41,8156,6109,17.96943600475788
42,8156,6157,17.990371697116643
43,8156,6162,17.94276859005913
44,8156,6235,17.97977803600952
45,8156,6174,17.974890486802906
46,8156,6186,17.9521744241938
47,8156,6311,17.965956198051572
48,8156,6255,17.94363611191511
49,8156,6233,17.909609544090927
