Epoch,Num trials,Number correct,Time
0,8156,585,57.18508610827848
1,8156,1400,57.18375146808103
2,8156,2004,57.160508072935045
3,8156,2695,57.10270584002137
4,8156,3143,57.0938281910494
5,8156,3596,57.05393080692738
6,8156,4028,57.0227295299992
7,8156,4291,57.004825775977224
8,8156,4421,56.98494325391948
9,8156,4792,56.97588535491377
10,8156,5003,56.97522756597027
11,8156,5292,57.16821187501773
12,8156,5359,56.948118114843965
13,8156,5533,56.951123169157654
14,8156,5644,56.94827864691615
15,8156,5777,56.9447494042106
16,8156,5914,56.94305398268625
17,8156,6046,57.15509504918009
18,8156,6026,56.90828089462593
19,8156,6120,56.944592397194356
20,8156,6147,56.90968388225883
21,8156,6373,56.92141420720145
22,8156,6387,56.912478372920305
23,8156,6375,56.920752327889204
24,8156,6478,56.913487940095365
25,8156,6536,56.91424267087132
26,8156,6595,56.90802806895226
27,8156,6555,56.91154023492709
28,8156,6718,56.872391015291214
29,8156,6775,56.908494690898806
30,8156,6799,56.90467834472656
31,8156,6764,56.908498557750136
32,8156,6874,56.906286876648664
33,8156,6928,56.910680539906025
34,8156,6938,56.914886825717986
35,8156,6982,56.90295081725344
36,8156,6979,56.906221055891365
37,8156,6990,56.907440019305795
38,8156,7046,56.918972846120596
39,8156,7075,56.91394032072276
40,8156,7110,56.906515018083155
41,8156,7018,56.906283502001315
42,8156,7001,56.90020882431418
43,8156,7043,56.906369511038065
44,8156,6962,56.90858174720779
45,8156,7127,56.90421635936946
46,8156,7091,56.9089814289473
47,8156,7098,57.12336736219004
48,8156,7107,56.90717887924984
49,8156,7133,56.91320713004097
