# Conn_Pop2_Pop2, Conn_Pop2_Pop2_fail, Conn_Pop0_Pop2, Conn_Pop0_Pop2_fail
233,0,54,0
459,0,97,0
676,0,124,0
882,0,144,0
1132,0,154,0
1360,0,173,0
1586,0,196,0
1845,0,207,0
2053,0,227,0
2285,0,233,0
2492,0,233,0
2711,0,249,0
2931,0,240,0
3160,0,227,0
3401,0,239,0
3638,0,239,0
3853,0,237,0
4061,0,247,0
4275,0,255,0
4491,0,247,0
4685,0,241,0
4870,0,231,0
5051,0,244,0
5240,0,240,0
5448,0,239,0
5624,0,240,0
5791,0,243,0
5975,0,238,0
6130,0,226,0
6293,0,231,0
6443,0,245,0
6606,0,229,0
6735,0,246,0
6862,0,228,0
6978,0,228,0
7091,0,222,0
7202,0,210,0
7274,0,207,0
7382,0,209,0
7491,0,215,0
7549,0,208,0
7595,0,212,0
7605,0,208,0
7637,0,218,0
7652,0,221,0
7658,0,216,0
7635,0,202,0
7594,0,174,0
7566,0,177,0
7506,0,189,0
7421,0,185,0
7360,0,168,0
7300,0,163,0
7169,0,162,0
7075,0,155,0
6967,0,163,0
6900,0,158,0
6840,0,140,0
6745,0,140,0
6645,0,132,0
6532,0,130,0
6384,0,118,0
6269,0,133,0
6182,0,148,0
6068,0,145,0
5913,0,132,0
5809,0,134,0
5687,0,135,0
5605,0,129,0
5464,0,118,0
5326,0,137,0
5223,0,134,0
5087,0,124,0
5012,0,121,0
4959,0,124,0
4851,0,117,0
4694,0,121,0
4583,0,127,0
4517,0,124,0
4436,0,123,0
4320,0,117,0
4243,0,115,0
4090,0,110,0
4000,0,111,0
3917,0,116,0
3837,0,115,0
3732,0,120,0
3664,0,118,0
3597,0,101,0
3538,0,113,0
3459,0,128,0
3323,0,131,0
3277,0,124,0
3219,0,114,0
3140,0,110,0
3082,0,99,0
2993,0,96,0
2935,0,97,0
2916,0,96,0
2866,0,85,0
2795,0,93,0
2776,0,87,0
2763,0,92,0
2744,0,97,0
2686,0,93,0
2666,0,88,0
2585,0,90,0
2579,0,83,0
2550,0,81,0
2483,0,78,0
2438,0,71,0
2414,0,69,0
2379,0,73,0
2362,0,75,0
2338,0,84,0
2336,0,91,0
2280,0,77,0
2268,0,76,0
2227,0,75,0
2208,0,74,0
2171,0,67,0
2172,0,67,0
2146,0,60,0
2115,0,50,0
2063,0,50,0
2058,0,53,0
2020,0,50,0
2031,0,53,0
2011,0,60,0
1984,0,68,0
1960,0,66,0
1924,0,60,0
1887,0,61,0
1904,0,52,0
1857,0,54,0
1823,0,65,0
1808,0,64,0
1798,0,68,0
1759,0,66,0
1757,0,71,0
1718,0,67,0
1680,0,68,0
1680,0,67,0
1666,0,61,0
1630,0,58,0
1604,0,60,0
1586,0,59,0
1555,0,54,0
1522,0,53,0
1512,0,55,0
1505,0,50,0
1483,0,49,0
1478,0,48,0
1432,0,50,0
1406,0,39,0
1371,0,37,0
1373,0,43,0
1337,0,44,0
1311,0,40,0
1326,0,47,0
1314,0,43,0
1320,0,36,0
1310,0,39,0
1303,0,36,0
1254,0,44,0
1228,0,46,0
1224,0,46,0
1229,0,49,0
1220,0,43,0
1202,0,42,0
1199,0,47,0
1175,0,49,0
1173,0,44,0
1168,0,42,0
1141,0,38,0
1145,0,42,0
1141,0,39,0
1148,0,47,0
1148,0,52,0
1126,0,55,0
1117,0,60,0
1074,0,60,0
1079,0,53,0
1077,0,47,0
1063,0,41,0
1033,0,39,0
1019,0,39,0
1032,0,32,0
1021,0,34,0
997,0,41,0
1001,0,34,0
989,0,43,0
988,0,47,0
972,0,51,0
937,0,49,0
905,0,45,0
893,0,48,0
905,0,49,0
908,0,47,0
902,0,47,0
897,0,39,0
880,0,46,0
863,0,42,0
862,0,38,0
854,0,41,0
850,0,41,0
840,0,41,0
805,0,41,0
817,0,35,0
828,0,30,0
824,0,28,0
804,0,29,0
809,0,31,0
767,0,31,0
738,0,37,0
740,0,36,0
744,0,29,0
760,0,25,0
749,0,27,0
729,0,34,0
706,0,35,0
692,0,33,0
672,0,32,0
692,0,44,0
673,0,37,0
677,0,37,0
659,0,40,0
690,0,43,0
670,0,32,0
665,0,28,0
676,0,30,0
666,0,35,0
673,0,33,0
677,0,36,0
677,0,34,0
672,0,30,0
673,0,36,0
667,0,40,0
650,0,36,0
649,0,39,0
649,0,36,0
667,0,36,0
631,0,40,0
650,0,37,0
630,0,34,0
657,0,32,0
629,0,33,0
610,0,37,0
607,0,42,0
617,0,38,0
632,0,46,0
598,0,40,0
598,0,38,0
602,0,43,0
583,0,39,0
555,0,42,0
546,0,36,0
527,0,31,0
515,0,29,0
523,0,33,0
515,0,36,0
494,0,36,0
500,0,37,0
505,0,47,0
490,0,45,0
507,0,45,0
512,0,42,0
500,0,42,0
484,0,42,0
479,0,39,0
466,0,41,0
479,0,39,0
475,0,33,0
486,0,32,0
486,0,37,0
494,0,34,0
503,0,38,0
479,0,34,0
467,0,33,0
459,0,31,0
430,0,35,0
433,0,36,0
432,0,36,0
426,0,42,0
411,0,46,0
422,0,39,0
419,0,28,0
429,0,24,0
441,0,25,0
441,0,29,0
436,0,33,0
432,0,31,0
424,0,31,0
428,0,35,0
435,0,37,0
436,0,35,0
436,0,34,0
422,0,30,0
406,0,27,0
409,0,26,0
414,0,25,0
420,0,32,0
400,0,32,0
393,0,29,0
375,0,28,0
395,0,31,0
388,0,28,0
384,0,29,0
380,0,31,0
384,0,31,0
379,0,28,0
389,0,27,0
386,0,31,0
381,0,32,0
380,0,32,0
384,0,31,0
381,0,28,0
375,0,22,0
365,0,19,0
369,0,22,0
360,0,22,0
371,0,15,0
361,0,22,0
344,0,28,0
324,0,23,0
336,0,20,0
337,0,23,0
332,0,30,0
332,0,28,0
326,0,28,0
324,0,25,0
307,0,24,0
298,0,25,0
299,0,26,0
317,0,21,0
314,0,25,0
310,0,29,0
309,0,24,0
312,0,19,0
322,0,24,0
316,0,16,0
322,0,20,0
316,0,23,0
311,0,18,0
312,0,27,0
328,0,29,0
311,0,26,0
306,0,23,0
315,0,24,0
319,0,25,0
309,0,20,0
298,0,24,0
315,0,20,0
293,0,20,0
291,0,23,0
282,0,21,0
286,0,19,0
271,0,24,0
270,0,26,0
285,0,21,0
290,0,22,0
291,0,22,0
288,0,21,0
276,0,20,0
280,0,19,0
280,0,20,0
264,0,25,0
262,0,25,0
275,0,26,0
259,0,24,0
269,0,22,0
259,0,20,0
270,0,19,0
265,0,20,0
259,0,28,0
