Epoch,Num trials,Number correct,Time
0,1077,137,76.8496676296927
1,1077,319,76.82389277685434
2,1077,476,76.75391304958612
3,1077,477,76.71684472216293
4,1077,506,76.77044832613319
5,1077,573,76.81456661922857
6,1077,655,76.86343679390848
7,1077,670,76.72504747379571
8,1077,679,76.74165973998606
9,1077,707,76.72944091958925
10,1077,741,76.79111716710031
11,1077,783,76.8171497429721
12,1077,828,76.87546318909153
13,1077,850,76.8308358443901
14,1077,868,76.76729139313102
15,1077,871,76.8438602280803
16,1077,847,76.72423824807629
17,1077,846,76.8319587642327
18,1077,887,76.71618499280885
19,1077,904,76.74446828523651
20,1077,896,76.80160392308608
21,1077,865,76.73807619418949
22,1077,857,76.7665513153188
23,1077,865,76.79781822208315
24,1077,872,76.8168680081144
25,1077,905,76.8528018090874
26,1077,925,76.68787111900747
27,1077,910,76.83740557916462
28,1077,933,76.85012441175058
29,1077,948,76.82644105097279
30,1077,955,76.82986629614606
31,1077,953,76.6974264071323
32,1077,954,76.83431758312508
33,1077,952,76.86606330703944
34,1077,952,76.91844352986664
35,1077,961,76.83943731430918
36,1077,964,76.8056791019626
37,1077,961,76.93161583505571
38,1077,959,76.79486562404782
39,1077,964,76.79754684166983
40,1077,965,76.82226399285719
41,1077,964,76.83583731390536
42,1077,962,76.83947240095586
43,1077,955,76.69678605208173
44,1077,958,76.8931730389595
45,1077,956,76.74759471789002
46,1077,958,76.74802980804816
47,1077,965,76.84949796600267
48,1077,962,76.82746935915202
49,1077,963,76.81419035186991
