Epoch,Num trials,Number correct,Time
0,8156,585,26.61830258416012
1,8156,1152,26.57932094996795
2,8156,1962,26.511357055976987
3,8156,2475,26.553372644353658
4,8156,3102,26.552429549396038
5,8156,3685,26.53260250715539
6,8156,3966,26.47728737210855
7,8156,4284,26.49550719000399
8,8156,4379,26.54835409624502
9,8156,4753,26.549846479203552
10,8156,4814,26.506087000016123
11,8156,5072,26.470568547956645
12,8156,5172,26.50176807725802
13,8156,5383,26.54863775894046
14,8156,5464,26.552465331740677
15,8156,5732,26.50226772390306
16,8156,5783,26.47209655214101
17,8156,5985,26.508698530960828
18,8156,5959,26.546814294997603
19,8156,6009,26.558133015874773
20,8156,6144,26.497385719791055
21,8156,6233,26.47413771227002
22,8156,6418,26.51698397565633
23,8156,6466,26.545635749120265
24,8156,6437,26.557795067783445
25,8156,6544,26.498155954759568
26,8156,6563,26.473242780193686
27,8156,6643,26.522738373838365
28,8156,6628,26.546450538095087
29,8156,6678,26.560863095801324
30,8156,6796,26.496300876140594
31,8156,6774,26.476764588151127
32,8156,6826,26.5290800742805
33,8156,6818,26.54308731108904
34,8156,6829,26.562910122331232
35,8156,6800,26.495829770341516
36,8156,6905,26.479156762827188
37,8156,6934,26.539803862106055
38,8156,6953,26.541962045710534
39,8156,6948,26.563455641735345
40,8156,6906,26.493459057062864
41,8156,7008,26.482856646645814
42,8156,7058,26.550730081740767
43,8156,7037,26.540123451966792
44,8156,6984,26.568178617861122
45,8156,6914,26.491912468802184
46,8156,7088,26.48387712612748
47,8156,7074,26.556942908093333
48,8156,7077,26.540970149915665
49,8156,7091,26.564347482752055
